,Inputs,Coefficients,Odds_ratio
2,Reason_3,3.092102212035734,22.02332704924143
0,Reason_1,2.7715117583972395,15.982777853998194
1,Reason_2,0.9316881678596685,2.5387914681471506
3,Reason_4,0.8090592026496506,2.2457941552981695
5,Transportation Expense,0.6250548214214028,1.8683483801385923
9,Children,0.35753530513788306,1.4298010448800185
7,Body Mass Index,0.28829408775736637,1.3341496035002196
4,Month,0.00781237445985822,1.0078429706816907
6,Age,-0.1739033863589857,0.8403780857231213
8,Education,-0.24081615446535778,0.7859861131435084
10,Pets,-0.27337421749289037,0.7608080266786784
11,Intercept,-1.609574708740004,0.19997264261005687
